"id";"dur";"f1";"f2";"f3";"f4";"f5";"f6";"f7";"f8";"f9";"f10"
"Brestany_2017";0.429141065830721;937.5;953.125;968.75;984.375;1000;1015.625;1031.25;1015.625;1031.25;1046.875
"Brestany_2017";0.429141065830721;906.25;937.5;968.75;984.375;1000;1015.625;1015.625;1031.25;1031.25;1046.875
"Brestany_2017";0.429141065830721;937.5;953.125;984.375;1000;1015.625;1015.625;1015.625;1031.25;1015.625;1046.875
"Brestany_2017";0.429141065830721;937.5;953.125;968.75;984.375;1000;1015.625;1015.625;1031.25;1031.25;1046.875
"Brestany_2017";0.429141065830721;921.875;953.125;968.75;984.375;1015.625;1015.625;1031.25;1031.25;1015.625;1015.625
"Brestany_2017";0.429141065830721;937.5;953.125;968.75;984.375;1000;1015.625;1015.625;1015.625;1015.625;1046.875
"Brestany_2017";0.447799373040752;937.5;953.125;968.75;984.375;1015.625;1015.625;1015.625;1015.625;1015.625;1015.625
"Brestany_2017";0.429141065830721;953.125;968.75;984.375;1000;1015.625;1015.625;1031.25;1031.25;1031.25;1046.875
"Brestany_2017";0.373166144200627;921.875;953.125;968.75;984.375;1000;1015.625;1015.625;1015.625;1015.625;1046.875
"Brestany_2017";0.261216300940439;500;500;500;500;500;500;500;500;500;NA
"Brestany_2017";0.429141065830721;937.5;953.125;984.375;1000;1015.625;1015.625;1031.25;1031.25;1046.875;1046.875
"Brestany_2017";0.41048275862069;953.125;968.75;984.375;1000;1015.625;1015.625;1015.625;1015.625;1015.625;1015.625
"Brestany_2017";0.447799373040752;812.5;875;906.25;937.5;968.75;984.375;1000;1000;1000;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brestany_2017";0.41048275862069;921.875;953.125;968.75;1000;1015.625;1015.625;1015.625;1031.25;1031.25;1046.875
"Brestany_2017";0.41048275862069;921.875;953.125;968.75;984.375;1015.625;1015.625;1015.625;1031.25;1031.25;1046.875
"Brestany_2017";0.429141065830721;937.5;968.75;984.375;1000;1015.625;1015.625;1031.25;1015.625;1015.625;1015.625
"Brestany_2017";0.447799373040752;937.5;968.75;984.375;1000;1015.625;1015.625;1031.25;1031.25;1031.25;1046.875
"Brestany_2017";0.429141065830721;921.875;953.125;968.75;984.375;1000;1015.625;1015.625;1031.25;1031.25;1031.25
"Brestany_2017";0.373166144200627;921.875;953.125;968.75;984.375;1000;1000;1015.625;1015.625;1015.625;1015.625
"Brestany_2017";0.373166144200627;937.5;968.75;984.375;984.375;1000;1015.625;1015.625;1015.625;1031.25;1046.875
"Brestany_2017";0.447799373040752;937.5;953.125;984.375;1000;1015.625;1015.625;1031.25;1031.25;1031.25;1046.875
"Brestany_2017";0.41048275862069;937.5;953.125;984.375;1000;1015.625;1015.625;1031.25;1031.25;1031.25;1046.875
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brestany_2017";0.373166144200627;921.875;953.125;968.75;984.375;1000;1015.625;1015.625;1015.625;1015.625;1015.625
"Brestany_2017";0.429141065830721;937.5;968.75;984.375;1000;1015.625;1015.625;1031.25;1031.25;1015.625;1015.625
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brestany_2017";0.373166144200627;921.875;937.5;953.125;968.75;984.375;1000;1000;1015.625;1015.625;1015.625
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brestany_2017";0.354507836990595;890.625;906.25;500;953.125;968.75;984.375;1000;1015.625;1031.25;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brestany_2017";0.27987460815047;546.875;531.25;500;562.5;562.5;562.5;562.5;562.5;562.5;NA
"Brestany_2017";0.578407523510972;1000;1015.625;1031.25;500;515.625;578.125;578.125;515.625;500;NA
"Brestany_2017";0.335849529780564;515.625;515.625;515.625;500;500;500;500;500;515.625;NA
"Brestany_2017";1.23144827586207;500;562.5;500;562.5;578.125;984.375;515.625;562.5;562.5;NA
"Brestany_2017";0.447799373040752;500;546.875;515.625;515.625;562.5;546.875;531.25;562.5;500;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brestany_2017";0.485115987460815;515.625;515.625;500;531.25;515.625;515.625;515.625;531.25;500;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brestany_2017";0.261216300940439;1000;1015.625;1015.625;1031.25;1031.25;1031.25;1031.25;1031.25;1046.875;NA
"Brestany_2017";0.429141065830721;921.875;937.5;968.75;984.375;1000;1015.625;1015.625;1015.625;1015.625;1046.875
