id;dur;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10
Brestany 2017;0.48;894;921;941;968;988;1007;1023;1011;1023;1035
Brestany 2017;0.496;898;914;949;968;988;1003;1027;1035;1023;1039
Brestany 2017;0.532;890;921;941;968;1000;1019;1039;1046;1042;1046
Brestany 2017;0.524;882;921;953;972;1000;1023;1031;1031;1046;1046
Brestany 2017;0.516;882;925;949;980;1007;1015;1027;1027;1035;1035
Brestany 2017;0.509;804;839;875;917;937;968;972;988;1007;1015
Brestany 2017;0.448;820;906;933;976;1015;1015;1015;1031;1046;1046
Brestany 2017;0.48;898;988;1011;1019;1023;1046;1019;1042;1046;1054
Brestany 2017;0.453;886;964;996;1015;1015;1027;1023;1035;1046;1046
Brestany 2017;0.483;898;953;992;1007;1015;1015;1031;1035;1031;1046
Brestany 2017;0.512;859;902;933;953;968;1003;1015;1003;1015;1015
Brestany 2017;0.512;859;902;949;957;976;984;1000;1011;1019;1027
Brestany 2017;0.5;859;890;910;953;972;1003;1011;1007;1015;1042
Brestany 2017;0.533;875;906;941;953;988;1003;1003;1015;1015;1035
Brestany 2017;0.5;875;902;949;960;968;984;992;1000;1015;1031
Brestany 2017;0.509;875;906;933;957;980;996;1003;1027;1015;1015
Brestany 2017;0.544;871;898;945;972;984;992;1000;1000;1023;1031
Brestany 2017;0.495;898;914;953;968;976;1007;1003;1015;1027;1019
Brestany 2017;0.528;875;933;937;968;992;1007;1019;1031;1023;1031
Brestany 2017;0.488;843;878;910;953;980;996;1011;1019;1015;1031
Brestany 2017;0.54;867;882;929;953;972;992;1003;1007;1027;1015
Brestany 2017;0.475;796;835;882;929;957;976;992;1003;1027;1027
Brestany 2017;0.465;902;933;968;1000;1015;1023;1046;1042;1035;1054
Brestany 2017;0.416;917;992;1007;1050;1054;1066;1054;1054;1062;1046
Brestany 2017;0.439;894;984;1027;1039;1046;1058;1046;1046;1046;1046
Brestany 2017;0.467;894;929;984;1000;1015;1011;1050;1050;1035;1050
Brestany 2017;0.528;871;902;933;953;984;1011;1011;1015;1027;1046
Brestany 2017;0.477;855;875;906;937;960;984;1011;1023;1031;1039
Brestany 2017;0.491;882;910;957;976;988;1000;1011;1031;1019;1027
Brestany 2017;0.491;878;917;937;957;992;1003;1015;1019;1031;1035
Brestany 2017;0.509;835;859;890;929;957;980;1015;1015;1015;1031
Brestany 2017;0.5;851;890;914;945;960;992;1023;1019;1027;1035
Brestany 2017;0.5;859;910;937;984;996;1015;1015;1023;1039;1027
Brestany 2017;0.483;867;890;921;964;988;1003;1019;1027;1039;1031
Brestany 2017;0.513;867;917;949;968;988;1000;1000;1015;1011;1031
Brestany 2017;0.492;851;871;910;941;964;976;1003;1027;1031;1031
Brestany 2017;0.496;878;925;957;980;996;1015;1023;1023;1023;1023
Brestany 2017;0.548;617;710;753;808;843;878;898;917;941;960
Brestany 2017;0.589;777;816;847;898;921;949;976;1000;1015;1078
Brestany 2017;0.58;851;855;906;945;957;988;1000;1011;1046;1054
Brestany 2017;0.548;859;878;910;933;984;1015;1027;1027;1050;1097
Brestany 2017;0.56;816;890;921;968;976;1000;1031;1050;1062;1078
Brestany 2017;0.495;859;898;921;953;980;1011;1015;1039;1050;1066
Brestany 2017;0.496;832;859;890;929;941;968;992;1015;1031;1082
Brestany 2017;0.515;863;894;929;937;968;992;1015;1035;1042;1062
Brestany 2017;0.511;843;855;906;953;976;984;1000;1019;1042;1062
