id;dur;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10
Cernuc JZD 2013 1;0.724;664;730;792;871;906;937;992;996;1015;1042
Cernuc JZD 2013 1;0.732;734;792;863;925;984;1015;1050;1066;1027;1042
Cernuc JZD 2013 1;0.804;750;800;855;925;953;1003;1003;1000;1003;1003
Cernuc JZD 2013 1;0.8;656;753;828;914;964;957;1019;1011;1019;1019
Cernuc JZD 2013 1;0.832;691;781;851;937;1000;1015;1007;1011;1003;992
Cernuc JZD 2013 1;0.792;679;726;789;867;933;960;976;996;1003;1003
Cernuc JZD 2013 1;0;;;;;;;;;;
Cernuc JZD 2013 1;0;;;;;;;;;;
Cernuc JZD 2013 1;0.864;777;855;929;984;1007;1015;1042;1042;1054;1046
Cernuc JZD 2013 1;0.78;785;871;929;976;1011;1035;1054;1050;1054;1050
Cernuc JZD 2013 1;0.868;765;832;914;976;1015;1027;1027;1031;1011;1039
Cernuc JZD 2013 1;0;;;;;;;;;;
Cernuc JZD 2013 1;0.688;753;839;914;980;1000;1023;1039;1050;1058;1085
Cernuc JZD 2013 1;0.629;859;921;980;988;980;1023;1027;1046;1042;1070
Cernuc JZD 2013 1;0;;;;;;;;;;
