id;dur;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10
Vidovle_2017_M;0.744;910;1046;1042;1027;1015;1011;968;968;957;937
Vidovle_2017_M;0.729;925;1015;1023;1027;1019;1011;1007;992;972;941
Vidovle_2017_M;0.736;992;1015;1015;1023;1019;1019;1019;984;980;968
Vidovle_2017_M;0.732;917;1039;1019;1023;1019;1011;1007;988;988;941
Vidovle_2017_M;0.685;945;996;1007;1011;1011;1007;1003;1000;992;972
Vidovle_2017_M;0.685;960;1000;1019;1023;1007;1007;1007;984;976;949
Vidovle_2017_M;0.696;1011;1050;1031;1031;1031;1027;1015;1003;988;976
Vidovle_2017_M;0.695;855;941;1023;1023;1035;1015;1003;1000;976;957
Vidovle_2017_M;0.691;898;1015;1023;1023;1015;1015;1031;1011;988;953
Vidovle_2017_M;0.635;914;1031;1027;1027;1035;1031;1019;1019;1000;988
Vidovle_2017_M;0.696;945;1039;1031;1019;1007;1003;1000;992;972;945
Vidovle_2017_M;0.668;910;1015;1023;1023;1011;1011;1003;1003;984;968
Vidovle_2017_M;0.715;960;1042;1027;1019;1019;1000;968;960;945;929
Vidovle_2017_M;0.72;949;1042;1039;1035;1023;1019;1015;996;976;937
Vidovle_2017_M;0.668;953;1042;1042;1035;1035;1031;1023;1019;1000;992
Vidovle_2017_M;0.708;968;1019;1046;1023;1023;1019;996;996;976;968
Vidovle_2017_M;0.643;910;1027;1035;1035;1027;1027;1011;1011;996;976
Vidovle_2017_M;0.575;1003;1039;1046;1031;1031;1039;1035;1011;996;964
Vidovle_2017_M;0.696;1000;1054;1050;1046;1031;1027;1019;1011;1011;976
Vidovle_2017_M;0.624;925;1007;1042;1058;1035;1027;1031;1019;1011;1007
